iter	Passed	Remaining
0	153	153830
1	162	81308
2	168	55931
3	173	43137
4	178	35527
5	183	30463
6	187	26554
7	189	23539
8	191	21106
9	193	19163
10	195	17585
11	197	16233
12	198	15077
13	200	14135
14	202	13270
15	203	12509
16	204	11833
17	205	11228
18	207	10690
19	208	10196
20	209	9753
21	210	9351
22	211	8979
23	212	8641
24	213	8328
25	214	8043
26	215	7771
27	216	7517
28	217	7282
29	218	7061
30	219	6859
31	220	6667
32	221	6487
33	222	6318
34	223	6159
35	224	6010
36	225	5865
37	226	5732
38	227	5603
39	228	5487
40	229	5369
41	230	5259
42	231	5154
43	232	5056
44	233	4961
45	234	4872
46	236	4785
47	237	4702
48	238	4622
49	239	4544
50	240	4468
51	241	4399
52	242	4329
53	243	4263
54	244	4197
55	245	4134
56	246	4074
57	247	4016
58	248	3960
59	249	3906
60	250	3852
61	251	3801
62	252	3751
63	253	3703
64	254	3656
65	255	3612
66	256	3571
67	257	3530
68	258	3490
69	259	3450
70	260	3411
71	261	3372
72	262	3337
73	263	3301
74	264	3265
75	265	3230
76	266	3197
77	267	3164
78	268	3132
79	269	3101
80	270	3074
81	271	3044
82	272	3010
83	273	2983
84	274	2955
85	275	2927
86	276	2899
87	277	2873
88	278	2850
89	279	2828
90	280	2804
91	281	2780
92	282	2757
93	283	2733
94	284	2711
95	285	2692
96	286	2670
97	287	2649
98	288	2627
99	289	2607
100	290	2587
101	291	2569
102	292	2549
103	293	2531
104	294	2512
105	295	2493
106	296	2476
107	297	2458
108	298	2440
109	299	2423
110	300	2407
111	301	2392
112	302	2376
113	303	2360
114	304	2344
115	305	2329
116	306	2313
117	308	2302
118	309	2290
119	310	2276
120	311	2262
121	312	2247
122	313	2233
123	314	2222
124	315	2211
125	316	2198
126	317	2184
127	318	2172
128	319	2159
129	320	2146
130	321	2134
131	322	2122
132	323	2110
133	324	2098
134	325	2086
135	326	2075
136	327	2064
137	328	2053
138	329	2042
139	330	2032
140	331	2021
141	332	2008
142	333	1999
143	334	1989
144	335	1979
145	336	1969
146	337	1959
147	338	1949
148	339	1939
149	340	1930
150	341	1920
151	342	1911
152	343	1902
153	344	1894
154	345	1886
155	347	1877
156	347	1868
157	348	1859
158	349	1850
159	350	1841
160	351	1831
161	352	1822
162	353	1813
163	354	1805
164	355	1797
165	356	1789
166	357	1780
167	358	1772
168	359	1765
169	360	1758
170	361	1750
171	362	1743
172	363	1735
173	363	1727
174	364	1720
175	365	1713
176	366	1705
177	367	1698
178	368	1691
179	369	1684
180	370	1677
181	371	1670
182	372	1663
183	373	1658
184	375	1652
185	376	1646
186	377	1639
187	378	1632
188	378	1626
189	379	1619
190	380	1613
191	381	1607
192	382	1600
193	383	1594
194	384	1587
195	385	1581
196	386	1575
197	387	1569
198	388	1564
199	389	1559
200	390	1553
201	391	1547
202	392	1541
203	393	1535
204	394	1530
205	395	1524
206	396	1518
207	397	1513
208	398	1507
209	399	1502
210	400	1496
211	401	1490
212	402	1485
213	403	1481
214	404	1476
215	405	1471
216	406	1466
217	407	1460
218	408	1455
219	409	1450
220	410	1445
221	410	1440
222	411	1434
223	412	1430
224	413	1424
225	414	1420
226	415	1415
227	418	1417
228	421	1419
229	423	1419
230	426	1419
231	428	1418
232	429	1415
233	431	1412
234	433	1409
235	434	1407
236	436	1405
237	437	1401
238	438	1397
239	440	1393
240	441	1389
241	442	1385
242	443	1382
243	444	1378
244	445	1374
245	447	1370
246	447	1365
247	448	1361
248	449	1357
249	451	1353
250	452	1349
251	453	1345
252	454	1340
253	455	1336
254	456	1332
255	457	1328
256	458	1324
257	459	1320
258	460	1316
259	460	1312
260	461	1308
261	462	1304
262	464	1300
263	465	1297
264	466	1294
265	467	1290
266	469	1287
267	470	1283
268	470	1279
269	471	1275
270	472	1271
271	473	1268
272	476	1269
273	477	1266
274	479	1262
275	480	1260
276	481	1257
277	482	1253
278	483	1250
